Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Mfg,PN,Source,Tol
1,1,AE1,Antenna,Device:Antenna_Shield,led-clock:Ant_3216,~,Sunlord,SLDA31-2R400G-S2TF,,
2,1,C1,4.7uF,Device:C,Capacitor_SMD:C_0402_1005Metric,~,Yageo,CC0402KRX5R6BB475,,
3,1,C2,2.2uF,icebreaker-bitsy-rescue:pkl_C_Small-pkl_device,Capacitor_SMD:C_0402_1005Metric,,Yageo,CC0402MRX5R5BB225,,
4,2,"C3, C4",18pF,icebreaker-bitsy-rescue:pkl_C_Small-pkl_device,Capacitor_SMD:C_0402_1005Metric,,Yageo,CC0402GRNPO9BN180,,
5,1,C5,6.8pF,Device:C,Capacitor_SMD:C_0402_1005Metric,~,Yageo,CC0402CRNPO9BN6R8,,
6,1,C6,1uF,Device:C,Capacitor_SMD:C_0402_1005Metric,~,Yageo,CC0402KRX5R6BB105,,
7,1,C7,2.2uF,Device:C,Capacitor_SMD:C_0402_1005Metric,~,Yageo,CC0402MRX5R5BB225,,
8,3,"C8, C14, C19",10u,icebreaker-bitsy-rescue:pkl_C-pkl_device,Capacitor_SMD:C_0603_1608Metric,,Yageo,CC0603KRX5R5BB106,,
9,4,"C9, C12, C13, C15",100n,icebreaker-bitsy-rescue:pkl_C_Small-pkl_device,Capacitor_SMD:C_0402_1005Metric,,Yageo,CC0402ZRY5V7BB104,,
10,2,"C10, C11",TBD,icebreaker-bitsy-rescue:pkl_C_Small-pkl_device,Capacitor_SMD:C_0402_1005Metric,,,,ANY,
11,3,"FB1, FB2, FB3",240R,Device:Ferrite_Bead_Small,Inductor_SMD:L_0402_1005Metric,~,Murata Electronics,BLM15BC241SN1D,,
12,1,J1,USB_C,Connector:USB_C_Receptacle_USB2.0,pkl_connectors:USB_C_Receptacle_HRO_TYPE-C-31-M-12,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,GCT,USB4105-GF-A,,
13,1,L1,2.2uH,Device:L_Small,Inductor_SMD:L_0805_2012Metric,~,Sunltech Tech,SLM20122R2MIT,,
14,1,L2,TBD,Device:L_Small,Inductor_SMD:L_0402_1005Metric,~,,,,
15,1,LE1,KEM-3942-AY,led-clock:KEM-3942-AY,led-clock:kem-3942-ay,,,,,
16,3,"Q1, Q2, Q3",Q_DUAL_NMOS_S1G1D2S2G2D1,Device:Q_DUAL_NMOS_S1G1D2S2G2D1,led-clock:SOT-666,~,ROHM Semicon,EM6K7T2R,,
17,1,R1,1M,icebreaker-bitsy-rescue:pkl_R_Small-pkl_device,Resistor_SMD:R_0402_1005Metric,,Yageo,RC0402FR-071ML,,
18,2,"R2, R3",5k1,icebreaker-bitsy-rescue:pkl_R_Small-pkl_device,Resistor_SMD:R_0402_1005Metric,,Yageo,RC0402FR-075K1L,,
19,2,"R4, R5",22E,icebreaker-bitsy-rescue:pkl_R_Small-pkl_device,Resistor_SMD:R_0402_1005Metric,,Yageo,RC0402FR-0722RL,,
20,1,R6,210k,Device:R,Resistor_SMD:R_0402_1005Metric,~,Yageo,RC0402FR-07210KL,,1%
21,1,R7,47k,Device:R,Resistor_SMD:R_0402_1005Metric,~,Yageo,RC0402FR-0747KL,,
22,8,"R8, R9, R11, R12, R13, R14, R15, R16",220R,icebreaker-bitsy-rescue:pkl_R_Small-pkl_device,Resistor_SMD:R_0402_1005Metric,,Yageo,RC0402FR-0722RL,,
23,1,R10,10k,icebreaker-bitsy-rescue:pkl_R_Small-pkl_device,Resistor_SMD:R_0402_1005Metric,,Yageo,RC0402FR-0710KL,,
24,1,SW1,TACT,icebreaker-bitsy-rescue:TACT-pkl_misc,pkl_buttons_switches:SW_SPST_3x4x2.5,,,,,
25,1,U1,USBLC6-2,icebreaker-bitsy-rescue:USBLC6-2-pkl_misc,led-clock:SOT-666,,STMicroelectronics,USBLC6-2P6,,
26,1,U2,TLV62569DRL,Regulator_Switching:TLV62569DRL,led-clock:SOT-666,http://www.ti.com/lit/ds/symlink/tlv62569.pdf,Texas Instruments,TLV62569DRLR,,
27,1,U3,ESP32-S2,obsidian-boa:ESP32-S2,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,,Espressif Systems,ESP32-S2,,
28,1,U4,W25Q32JVZPIQ,Memory_Flash:W25Q32JVSS,Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf,Winbond Electronics,W25Q32JVZPIQ,,
29,1,Y1,40MHz,Device:Crystal_GND24_Small,led-clock:Crystal_SMD_4Pin_2.0x1.6mm,~,TKD,SX20Y040000BC1T,,
